apls_count,atss_count,bloc_count,bloc_count_relative,cloc_count,cloc_count_relative,dpt_count,etp_count,file,loc_count,nbeh_count,nbeh_count_relative,nbl_count,ncd_count,ncmd_count,nco_count,ndk_count,ndk_count_occurrences,ndm_count,ndm_count_occurrences,nemd_count,nemd_count_relative,nfl_count,nfmd_count,nfmd_count_relative,nicd_count,nierr_count,nimpp_count,nimpr_count,nimpt_count,ninc_count,nincr_count,ninct_count,nincv_count,niu_count,nkeys_count,nlk_count,nlo_count,nlp_count,nmd_count,nmo_count,nnnv_count,nnnv_count_relative,nnwv_count,nnwv_count_relative,npl_count,npnn_count,npnn_count_relative,npun_count,npun_count_relative,npvr_count,nrgv_count,nrl_count,nrvr_count,nscm_count,nsh_count,ntkn_count,ntnn_count,ntnn_count_relative,nts_count,ntun_count,ntun_count_relative,ntvr_count,nun_count,nun_count_relative,nvr_count,y
,6,0,0,1,0.01,2,-6.05,lae__ansible-role-netbox__ceaeab700e4c0f852d9878ad9cc5ac107ca9f09c__tasks_main.yml,78,0,0,0,29,0,6,0,0,0,0,2,0.12,4,0,0,4,0,0,0,0,3,0,0,1,,64,0,2,2,8,0,13,0.72,5,0.28,,,,,,,,,,0,0,246,3,0.21,14,11,0.79,17,16,0.89,,0
,4,0,0,2,0.14,2,-4.85,sensu__sensu-ansible__6e9632ccef6980e8a36797f76c067476f8eafa9b__tasks_Fedora_redis.yml,14,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,14,0,0,0,3,0,4,0.8,1,0.2,,,,,,,,,,0,0,48,1,0.25,4,3,0.75,3,5,1,,0
,7,0,0,1,0.02,2,-6.15,lae__ansible-role-netbox__ceaeab700e4c0f852d9878ad9cc5ac107ca9f09c__tasks_install_via_git.yml,50,0,0,0,21,0,3,1,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,47,0,2,0,4,0,7,1,0,0,,,,,,,,,,0,3,207,0,0,7,7,1,10,7,1,,0
,9,0,0,2,0.22,2,-4.44,nusenu__ansible-relayor__c25e1f96cb3a91dfef803f4de935c51c597bd19d__tasks_linux_service.yml,9,0,0,0,3,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,,7,0,0,1,1,0,1,0.5,1,0.5,,,,,,,,,,0,0,29,0,0,1,1,1,4,2,1,,0
,7,0,0,0,0,2,-5.77,willshersystems__ansible-sshd__812a1e12673654589d60c0e5683a33708c6456e3__tasks_main.yml,54,0,0,0,14,0,2,0,0,0,0,2,0.25,0,0,0,0,0,0,0,0,0,0,0,1,,39,0,1,2,6,0,7,0.88,1,0.12,,,,,,,,,,0,0,132,0,0,7,7,1,12,8,1,,0
,6,0,0,0,0,2,-4.91,weareinteractive__ansible-environment__8d55e9c0420c92ed51f69a8a9e0162f3274bf53b__tasks_config.yml,19,0,0,0,9,0,0,0,0,0,0,2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,,19,0,0,2,2,0,3,1,0,0,,,,,,,,,,0,0,63,0,0,3,3,1,7,3,1,,0
,7,0,0,0,0,2,-4.97,EMCECS__ECS-CommunityEdition__8bbaa15e8a4216390a75e164bb2cd9126317414f__ui_ansible_roles_firewalld_configure_access_tasks_main.yml,40,0,0,0,7,0,0,0,0,0,0,3,0.33,2,0,0,0,0,0,0,0,0,0,0,0,,40,0,0,3,2,0,8,1,0,0,,,,,,,,,,0,0,123,0,0,6,4,0.67,5,4,0.5,,0
,14,0,0,2,0.14,2,-4.56,anthcourtney__ansible-role-cis-amazon-linux__559eacdf1075ce5672d3b73bdccbb46998a740ff__tasks_level-1_3.6.2.yml,14,0,0,0,1,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,,7,0,0,1,1,0,1,1,0,0,,,,,,,,,,0,0,25,0,0,1,1,1,1,1,1,,0
,4,0,0,0,0,1,-6.34,CSCfi__fgci-ansible__04537e4238f2b7dc7f17f3bfe2b87c76430abe52__roles_ip_forwarder_tasks_main.yml,34,0,0,0,10,3,4,1,1,0,0,1,0.1,0,0,0,0,1,0,0,0,0,0,0,0,,34,0,1,0,5,0,9,1,0,0,,,,,,,,,,0,3,197,0,0,9,9,1,6,9,1,,0
193,4,0,0,4,0.03,3,-6.46,geerlingguy__drupal-vm__27b6a857db507a0d31b797fdfb7adb1f2106fa40__provisioning_playbook.yml,130,0,0,0,65,0,46,0,0,0,0,8,0.28,7,0,0,0,0,0,0,0,12,1,0,2,0,157,1,8,5,6,0,9,1,0,0,1,1,1,0,0,0,0,38,0,0,0,509,12,0.57,21,9,0.43,14,9,1,0,0
,4,0,0,0,0,2,-6.1,elastic__ansible-elasticsearch__5e1873ca68f18dc949421cf04b343ae4a0433f62__tasks_elasticsearch-Debian.yml,31,0,0,0,17,0,2,0,0,0,0,1,0.1,0,0,0,5,0,0,0,0,1,0,0,0,,33,0,3,1,6,0,7,1,0,0,,,,,,,,,,0,0,165,2,0.22,9,7,0.78,11,7,1,,0
12,1,0,0,0,0,3,-4.53,redhat-cop__casl-ansible__38599563e549e06cfa29ac3787cf3e143b8dc627__playbooks_openshift_delete-openstack.yml,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,27,1,1,1,0,0,0,1,1,0,0
,6,0,0,0,0,2,-5.39,nginxinc__ansible-role-nginx__5c7924618af5441d66e21ed72e6f9d5d79fe94b4__tasks_conf_push-config.yml,48,0,0,0,15,0,0,0,0,0,0,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,,46,0,2,2,3,0,8,1,0,0,,,,,,,,,,0,0,167,0,0,8,8,1,5,8,1,,0
,4,0,0,1,0.11,2,-4.09,Comcast__ansible-sdkman__9bd563e7bef37ad01fe53b934ac887679eebb6c9__tasks_main.yml,9,0,0,1,2,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,2,0,,9,0,0,0,1,0,2,1,0,0,,,,,,,,,,0,0,23,1,0.5,2,1,0.5,2,2,1,,0
