,atss_count,bloc_count,cloc_count,dpt_count,etp_count,loc_count,nbeh_count,nbl_count,ncd_count,ncmd_count,nco_count,ndk_count,ndk_count_occurrences,ndm_count,ndm_count_occurrences,nemd_count,nfl_count,nfmd_count,nicd_count,nierr_count,nimpr_count,nimpt_count,ninc_count,nincr_count,ninct_count,nincv_count,nkeys_count,nlk_count,nlo_count,nlp_count,nmd_count,nnnv_count,nnwv_count,nsh_count,ntkn_count,ntnn_count,nts_count,ntun_count,ntvr_count,nun_count,clusters
3738,5.0,0,0,2,-5.09,57,0.0,0.0,7,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0,0,0.0,2.0,7,0,0.0,124,4.0,11.0,5.0,7.0,5.0,0
3739,2.0,0,0,1,-2.81,3,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,0,0,0.0,2.0,1,0,0.0,7,1.0,2.0,1.0,0.0,1.0,0
3740,13.0,0,0,3,-6.27,152,0.0,0.0,67,2.0,11,0,0,0.0,0.0,0.0,14,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129,0,7,0.0,4.0,17,0,0.0,533,0.0,12.0,12.0,34.0,17.0,3
3741,9.0,0,0,3,-4.33,9,0.0,0.0,4,0.0,0,0,0,0.0,0.0,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,1,0,0.0,26,0.0,1.0,1.0,3.0,1.0,0
3742,10.0,0,0,2,-4.47,10,0.0,0.0,5,0.0,1,0,0,0.0,0.0,2.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0,1.0,0.0,1,0,0.0,28,0.0,1.0,1.0,3.0,1.0,0
3743,7.0,0,0,2,-5.88,36,0.0,0.0,9,2.0,5,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0,2,0.0,4.0,5,0,0.0,149,0.0,5.0,5.0,3.0,5.0,0
3744,5.0,0,0,2,-3.62,5,0.0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0.0,1.0,1,1,0.0,16,0.0,1.0,1.0,2.0,2.0,0
3745,13.0,0,0,2,-5.33,51,0.0,0.0,18,0.0,2,0,0,0.0,0.0,4.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,0,1,1.0,1.0,4,0,0.0,148,0.0,4.0,4.0,11.0,4.0,4
3746,8.0,0,0,2,-6.63,133,0.0,0.0,48,2.0,4,0,0,0.0,0.0,4.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122,0,4,4.0,11.0,11,9,0.0,427,0.0,16.0,16.0,17.0,18.0,5
3747,7.0,0,0,2,-3.88,7,0.0,0.0,4,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0,0.0,1.0,1,1,0.0,23,0.0,1.0,1.0,5.0,2.0,0
