apls_count,atss_count,bloc_count,bloc_count_relative,cloc_count,cloc_count_relative,dpt_count,etp_count,file,loc_count,nbeh_count,nbeh_count_relative,nbl_count,ncd_count,ncmd_count,nco_count,ndk_count,ndk_count_occurrences,ndm_count,ndm_count_occurrences,nemd_count,nemd_count_relative,nfl_count,nfmd_count,nfmd_count_relative,nicd_count,nierr_count,nimpp_count,nimpr_count,nimpt_count,ninc_count,nincr_count,ninct_count,nincv_count,niu_count,nkeys_count,nlk_count,nlo_count,nlp_count,nmd_count,nmo_count,nnnv_count,nnnv_count_relative,nnwv_count,nnwv_count_relative,npl_count,npnn_count,npnn_count_relative,npun_count,npun_count_relative,npvr_count,nrgv_count,nrl_count,nrvr_count,nscm_count,nsh_count,ntkn_count,ntnn_count,ntnn_count_relative,nts_count,ntun_count,ntun_count_relative,ntvr_count,nun_count,nun_count_relative,nvr_count
,2.0,0,0.0,0,0.0,1,-2.58,CentOS-PaaS-SIG_linchpin_linchpin_provision_roles_openshift_tasks_provision_res_defs.yml,2,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,2,0,0,0.0,1.0,0,1,1.0,0,0.0,,,,,,,,,,0,0.0,6,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,
,8.0,0,0.0,0,0.0,2,-5.32,dev-sec_ansible-os-hardening_tasks_minimize_access.yml,30,0.0,0.0,0.0,8,0.0,2,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,23,0,1,1.0,2.0,0,3,1.0,0,0.0,,,,,,,,,,0,0.0,95,1.0,0.25,4.0,3.0,0.75,7.0,3.0,1.0,
,9.0,0,0.0,0,0.0,3,-6.46,folio-org_folio-ansible_roles_okapi-secure_tasks_main.yml,131,0.0,0.0,0.0,30,0.0,7,0,0,0.0,0.0,3.0,0.17,9,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,122,0,1,3.0,2.0,0,19,1.0,0,0.0,,,,,,,,,,0,0.0,428,0.0,0.0,15.0,15.0,1.0,26.0,19.0,1.0,
,19.0,0,0.0,0,0.0,2,-5.08,oVirt_ovirt-ansible-infra_roles_ovirt.storages_tasks_main.yml,95,0.0,0.0,0.0,59,0.0,5,0,0,0.0,0.0,4.0,0.44,39,1.0,0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,77,0,2,4.0,3.0,0,5,0.62,3,0.38,,,,,,,,,,0,0.0,370,0.0,0.0,5.0,5.0,1.0,26.0,5.0,0.62,
,8.0,0,0.0,0,0.0,3,-4.22,DigitalState_Platform_platform_ansible_role_app_topics_jwt_configure_tasks_main.yml,8,0.0,0.0,1.0,1,0.0,0,0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7,0,0,0.0,0.0,0,1,1.0,0,0.0,,,,,,,,,,0,0.0,20,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,
,4.0,0,0.0,0,0.0,2,-4.5,redhat-cop_agnosticd_ansible_roles_ocp-workload-pam-order-it-hardware_tasks_post_workload.yml,7,0.0,0.0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7,0,0,0.0,2.0,0,2,1.0,0,0.0,,,,,,,,,,0,0.0,24,0.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,
,4.0,0,0.0,0,0.0,1,-4.18,Chabane_generator-mitosis_generators_app_templates_ansible_swarm_roles_mitosis-swarm-worker_tasks__main.yml,4,0.0,0.0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3,0,0,0.0,1.0,0,1,1.0,0,0.0,,,,,,,,,,0,1.0,23,0.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,
,2.0,0,0.0,0,0.0,1,-3.5,openstack_openstack-ansible-os_keystone_tasks_keystone_idp_setup.yml,9,0.0,0.0,0.0,4,0.0,3,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,,9,0,0,0.0,1.0,0,0,0.0,0,0.0,,,,,,,,,,0,0.0,26,5.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,
,197.0,0,0.0,0,0.0,4,-6.22,ansible_ansible_test_integration_targets_postgresql_tasks_test_no_password_change.yml,198,1.0,1.0,1.0,50,0.0,0,0,0,0.0,0.0,2.0,1.0,11,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,155,0,0,0.0,0.0,0,18,0.69,8,0.31,,,,,,,,,,0,0.0,665,1.0,1.0,1.0,0.0,0.0,11.0,12.0,0.46,
,5.0,0,0.0,0,0.0,2,-4.95,ConnectBox_connectbox-pi_ansible_roles_captive-portal_tasks_main.yml,24,0.0,0.0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,23,0,0,0.0,4.0,0,7,1.0,0,0.0,,,,,,,,,,0,0.0,65,0.0,0.0,5.0,5.0,1.0,1.0,7.0,1.0,
