apls_count,atss_count,bloc_count,bloc_count_relative,cloc_count,cloc_count_relative,dpt_count,etp_count,file,loc_count,nbeh_count,nbeh_count_relative,nbl_count,ncd_count,ncmd_count,nco_count,ndk_count,ndk_count_occurrences,ndm_count,ndm_count_occurrences,nemd_count,nemd_count_relative,nfl_count,nfmd_count,nfmd_count_relative,nicd_count,nierr_count,nimpp_count,nimpr_count,nimpt_count,ninc_count,nincr_count,ninct_count,nincv_count,niu_count,nkeys_count,nlk_count,nlo_count,nlp_count,nmd_count,nmo_count,nnnv_count,nnnv_count_relative,nnwv_count,nnwv_count_relative,npl_count,npnn_count,npnn_count_relative,npun_count,npun_count_relative,npvr_count,nrgv_count,nrl_count,nrvr_count,nscm_count,nsh_count,ntkn_count,ntnn_count,ntnn_count_relative,nts_count,ntun_count,ntun_count_relative,ntvr_count,nun_count,nun_count_relative,nvr_count,y
162,17,0,0,0,0,3,-6.27,ansible__molecule__9e71a1409af3fee6af60cedd96939436052a996f__molecule_provisioner_ansible_playbooks_docker_create.yml,134,0,0,0,94,0,7,1,1,0,0,8,0.5,55,0,0,30,0,0,0,0,0,0,0,0,0,123,0,4,8,7,0,10,0.71,4,0.29,1,0,0,1,1,0,4,0,0,0,0,747,0,0,9,9,1,52,14,1,0,1
9,,0,0,2,0.11,2,-3.76,manala__manalize__295df49c05c9eb9248892917a2f9aae8b306642f__src_Resources_envs_symfony_ansible_ansible.yml,18,,,,1,,0,0,0,,,,,0,,,0,,,,,,,,,0,11,0,0,,,0,0,0,0,0,2,2,1,0,0,3,0,1,0,0,,25,,,,,,,0,0,3,1
,12,0,0,1,0.01,3,-5.82,ceph__ceph-ansible__7b7f79171a872c8f078c916b7232e9a437d56860__roles_ceph-container-common_tasks_pre_requisites_prerequisites.yml,90,0,0,4,9,0,7,0,0,0,0,4,0.57,0,0,0,0,0,0,0,0,0,0,2,0,,73,0,0,0,3,0,22,1,0,0,,,,,,,,,,0,0,212,0,0,7,7,1,1,20,0.91,,1
,5,0,0,6,0.13,2,-5.63,rhevm-qe-automation__ovirt-ansible__d859d7b79ba0d5a36267794b2745434d7336d457__roles_ovirt-collect-logs_tasks_main.yml,47,0,0,0,14,0,0,0,0,0,0,4,0.31,0,0,0,0,2,0,0,0,1,0,0,1,,40,0,0,4,6,0,8,0.89,1,0.11,,,,,,,,,,0,2,145,1,0.11,9,8,0.89,11,9,1,,1
,4,0,0,9,0.26,1,-5.74,jloh__nagios-nrpe-server__c33f3410e002f9d8506f0725f56b7d7afa1c5f74__tasks_main.yml,34,0,0,0,10,0,1,0,0,0,0,2,0.2,0,0,0,0,0,0,0,0,1,0,0,2,,20,0,0,2,5,0,7,1,0,0,,,,,,,,,,0,0,108,1,0.12,8,7,0.88,7,7,1,,1
,54,0,0,13,0.12,4,-6.33,oVirt__ovirt-ansible__b9ba3888a5808269ee15d2c524bb9794573f85d0__roles_ovirt-cluster-upgrade_tasks_main.yml,105,1,1,1,50,0,12,0,0,0,0,2,0.67,13,0,0,0,0,0,0,0,2,0,0,0,,97,0,7,4,1,0,17,0.77,5,0.23,,,,,,,,,,4,0,408,2,1,2,0,0,22,17,0.77,,1
,6,0,0,0,0,2,-4.91,weareinteractive__ansible-environment__b2c11fef88421b5ce126e6eb9cd99f57cc401c02__tasks_config.yml,19,0,0,0,9,0,0,0,0,0,0,2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,,19,0,0,2,2,0,3,1,0,0,,,,,,,,,,0,0,63,0,0,3,3,1,7,3,1,,1
,6,0,0,0,0,2,-5.77,atosatto__ansible-dockerswarm__65be87a2535adbaae95adc5df5c9c4eae60d131f__tasks_swarm_cluster.yml,48,0,0,0,16,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,32,0,6,0,2,0,7,1,0,0,,,,,,,,,,0,6,204,0,0,7,7,1,8,7,1,,1
23,5,0,0,2,0.09,4,-5.64,openfun__arnold__4d3ba234e64f7d20bcc207bf78d52b5f3fa16286__create_project.yml,22,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,22,0,0,0,3,0,2,0.67,1,0.33,1,1,1,0,0,0,1,0,0,0,0,67,2,0.5,4,2,0.5,4,3,1,0,1
,8,0,0,2,0.02,2,-6.66,iiab__iiab__f8e431cd196423ff882297f03cebee76f031a062__roles_kolibri_tasks_main.yml,102,0,0,0,42,2,2,0,0,0,0,3,0.18,0,0,0,0,3,0,0,0,0,0,0,0,,98,0,2,3,8,0,10,0.53,9,0.47,,,,,,,,,,0,3,420,0,0,14,14,1,21,16,0.84,,1
