,atss_count,bloc_count,bloc_count_relative,cloc_count,cloc_count_relative,dpt_count,etp_count,loc_count,nbeh_count,nbeh_count_relative,nbl_count,ncmd_count,ndk_count,ndk_count_occurrences,ndm_count,ndm_count_occurrences,nemd_count_relative,nfl_count,nfmd_count,nfmd_count_relative,nicd_count,nierr_count,nimpr_count,nimpt_count,ninc_count,nincr_count,ninct_count,nincv_count,nlk_count,nlo_count,nlp_count,nmd_count,nnnv_count_relative,nnwv_count,nnwv_count_relative,nsh_count,ntnn_count,ntun_count_relative,nun_count_relative,clusters
53,6.0,0,0.0,0,0.0,5,-5.04,17,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.67,0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,1.0,0,0.0,0.0,1.0,0.67,1.0,1
54,6.0,0,0.0,0,0.0,1,-4.42,7,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.5,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,1.0,1.0,1
55,7.0,0,0.0,0,0.0,2,-6.6,180,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.04,3,0.0,0.0,0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0,5,1.0,12.0,0.88,3,0.12,3.0,5.0,0.81,0.92,3
56,7.0,9,0.18,0,0.0,2,-5.6,51,0.0,0.0,0.0,3.0,1,3,0.0,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3.0,1.0,0,0.0,0.0,0.0,1.0,1.0,4
57,3.0,0,0.0,0,0.0,1,-3.62,6,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,2,0.0,1.0,0.0,0,0.0,0.0,2.0,0.0,0.0,1
58,5.0,0,0.0,0,0.0,2,-5.33,40,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.2,4,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,8.0,1.0,0,0.0,0.0,0.0,1.0,0.82,4
60,9.0,0,0.0,0,0.0,2,-4.44,9,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.5,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,0.5,1,0.5,0.0,0.0,1.0,1.0,1
61,3.0,0,0.0,0,0.0,1,-2.72,6,0.0,0.0,0.0,2.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,1.0,0,0.0,0.0,0.0,1.0,1.0,1
62,4.0,0,0.0,0,0.0,1,-4.02,7,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.33,0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,1.0,2.0,1.0,0,0.0,0.0,1.0,0.5,1.0,1
63,4.0,0,0.0,0,0.0,1,-3.92,8,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.33,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,1.0,1.0,1
64,6.0,0,0.0,0,0.0,3,-6.26,215,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3.0,1.0,0,0.0,0.0,0.0,0.09,0.09,2
65,4.0,0,0.0,0,0.0,2,-4.96,19,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.17,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0,1,1.0,2.0,1.0,0,0.0,0.0,4.0,0.2,1.0,1
66,8.0,0,0.0,0,0.0,2,-4.38,8,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.5,1,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,1.0,1.0,1
67,8.0,0,0.0,0,0.0,3,-4.06,8,0.0,0.0,1.0,0.0,0,0,0.0,0.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0.0,1.0,1
68,7.0,0,0.0,0,0.0,2,-5.15,68,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3.0,1.0,0,0.0,0.0,1.0,0.5,0.28,5
69,6.0,0,0.0,0,0.0,2,-5.38,37,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3.0,1.0,0,0.0,2.0,0.0,1.0,1.0,4
70,6.0,0,0.0,0,0.0,3,-6.4,107,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.1,3,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,7.0,1.0,0,0.0,0.0,6.0,0.56,0.71,5
71,3.0,0,0.0,0,0.0,1,-4.06,10,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0,0,0.0,2.0,1.0,0,0.0,0.0,2.0,0.33,1.0,1
72,7.0,0,0.0,0,0.0,2,-5.72,62,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.18,2,2.0,0.22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,5.0,1.0,0,0.0,0.0,1.0,0.67,0.75,5
