,atss_count,bloc_count_relative,cloc_count_relative,dpt_count,etp_count,loc_count,nbeh_count_relative,nbl_count,ncd_count,ncmd_count,nco_count,ndk_count,ndk_count_occurrences,ndm_count,ndm_count_occurrences,nemd_count_relative,nfl_count,nfmd_count_relative,nicd_count,nierr_count,nimpr_count,nimpt_count,ninc_count,nincr_count,ninct_count,nincv_count,nkeys_count,nlk_count,nlo_count,nlp_count,nmd_count,nnnv_count_relative,nnwv_count_relative,nsh_count,ntkn_count,ntnn_count_relative,nts_count,ntun_count_relative,ntvr_count,nun_count_relative,clusters
1251,4.0,0.0,0.0,1,-4.64,7,0.0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0.0,2.0,1.0,0.0,0.0,25,0.5,2.0,0.5,2.0,1.0,1
1252,1.0,0.0,0.0,1,-1.0,1,0.0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0.0,1.0,0.0,0.0,0.0,2,1.0,1.0,0.0,1.0,0.0,1
1253,4.0,0.0,0.0,2,-4.16,21,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.5,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,0,0.0,1.0,1.0,0.0,0.0,43,0.5,6.0,0.5,1.0,1.0,1
1254,4.0,0.0,0.0,1,-4.61,32,0.0,0.0,10,0.0,10,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,21,0,5,0.0,1.0,0.0,0.0,0.0,79,1.0,8.0,0.0,0.0,0.0,4
1255,7.0,0.0,0.0,3,-5.38,49,0.0,0.0,23,0.0,2,0,0,0.0,0.0,0.12,14,0.29,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0,0,1.0,4.0,1.0,0.0,0.0,186,0.0,7.0,0.71,17.0,0.71,0
1256,13.0,0.0,0.0,3,-4.88,13,0.0,0.0,6,0.0,1,0,0,0.0,0.0,1.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,1.0,0.0,0.5,0.5,0.0,49,0.0,1.0,1.0,5.0,1.0,1
1257,6.0,0.0,0.0,2,-6.24,54,0.0,0.0,23,0.0,7,0,0,0.0,0.0,0.18,8,0.0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,48,1,2,2.0,6.0,0.89,0.11,0.0,212,0.0,9.0,1.0,15.0,1.0,2
1258,3.0,0.0,0.0,1,-4.81,16,0.0,0.0,10,0.0,6,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,10,0.0,3.0,1.0,0.0,0.0,80,0.0,5.0,1.0,3.0,1.0,1
1259,13.0,0.0,0.0,3,-4.54,13,0.0,1.0,2,0.0,0,0,0,0.0,0.0,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0,0.0,0.0,1.0,0.0,0.0,35,1.0,1.0,0.0,2.0,1.0,1
1260,9.0,0.0,0.0,2,-5.16,43,0.0,0.0,14,0.0,5,0,0,0.0,0.0,0.44,3,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0,2,4.0,3.0,0.67,0.33,0.0,120,0.0,5.0,1.0,1.0,0.67,0
